Nome parco,Tipo Parco,Latitudine,Longitudine
Via Alessandro Volta,Parco Inclusivo,45.6221108,9.21235460000003
Via Canaletto,Parco Giochi,45.6199737,9.2267433
Parco Villa Tittoni,Parco Giochi,45.6141753,9.2146087
Parco comunale Spaccone (Via Romagna),Parco Giochi,45.6061461,9.19588659999999
Via Risorgimento,Parco Giochi,45.620809,9.18070599999999
Via Monte Generoso,Parco Giochi,45.621976,9.18949399999997
Via Don Mauro Bonzi,Parco Giochi,45.624381,9.226975
Via Trincea delle Frasche,Parco Giochi,45.633153,9.19590300000004
Viale Sabotino,Parco Giochi,45.606485,9.19546600000001
Via Matilde Serao,Parco Giochi,45.614801,9.196866
Via Parini/Kuliscioff,Parco Giochi,45.610603,9.19657200000006
Viale Rimembranze (Area Cimitero),Parco Inclusivo,45.62166,9.20562199999995
Via Fratelli Cervi angolo Via Vico,Parco Inclusivo,45.618176,9.20407599999999
Via Monsignor Luigi Castelli,Parco Giochi,45.622519,9.19404600000007
